file,rows_total,rows_kept,rows_removed,missing_id_rows,invalid_json_rows
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-01.ndjson,159,159,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-02.ndjson,211,211,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-03.ndjson,141,141,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-04.ndjson,176,176,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-05.ndjson,129,129,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-06.ndjson,144,144,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-07.ndjson,143,143,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-08.ndjson,166,166,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-09.ndjson,291,291,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-10.ndjson,169,169,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-11.ndjson,163,163,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-12.ndjson,151,151,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-13.ndjson,152,152,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-14.ndjson,123,123,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-15.ndjson,166,166,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-16.ndjson,106,106,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-17.ndjson,126,126,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-18.ndjson,159,159,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-19.ndjson,137,137,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-20.ndjson,140,140,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-21.ndjson,106,106,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-22.ndjson,133,133,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-23.ndjson,119,119,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-24.ndjson,162,162,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-25.ndjson,133,133,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-26.ndjson,96,96,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-27.ndjson,70,70,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-28.ndjson,172,172,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-29.ndjson,131,131,0,0,0
data/raw/political_forums/daily_chunks/AskProgramming/2022-11-30.ndjson,136,136,0,0,0
