forum_a,forum_b,authors_a,authors_b,shared_authors,jaccard
Ask_Politics,NeutralPolitics,148,91,2,0.0084
Ask_Politics,PoliticalDiscussion,148,4937,40,0.0079
Ask_Politics,moderatepolitics,148,3975,7,0.0017
Ask_Politics,politics,148,144399,50,0.0003
NeutralPolitics,PoliticalDiscussion,91,4937,8,0.0016
NeutralPolitics,moderatepolitics,91,3975,8,0.0020
NeutralPolitics,politics,91,144399,24,0.0002
PoliticalDiscussion,moderatepolitics,4937,3975,297,0.0345
PoliticalDiscussion,politics,4937,144399,1768,0.0120
moderatepolitics,politics,3975,144399,882,0.0060
