summary_label,n_users,share_weekly_gt_p1,share_weekly_lt_n1,share_pooled_t_gt_p1,share_pooled_t_lt_n1,share_weekly_gt_p2,share_weekly_lt_n2,share_pooled_t_gt_p2,share_pooled_t_lt_n2,mean_delta_weekly_composite,median_delta_weekly_composite,sign_test_pos_share_weekly,mean_delta_pooled_composite,median_delta_pooled_composite,sign_test_pos_share_pooled,ivw_delta_pooled_composite,ivw_se_pooled_composite,ivw_z_pooled_composite,ivw_n_users,agree_sign_share_weekly_vs_pooled,corr_std_delta_weekly_vs_t_pooled,n_users_in_summary,n_comments,n_words,topic_word_distribution_json
panel,31159,0.24512981803010367,0.1543695240540454,0.2806807905955303,0.22910476682599148,0.14166051542090569,0.07047722969286563,0.09649916031520475,0.06840201524350858,0.04401031630148812,0.08649121190246811,0.5326871850829615,0.01992943078979811,0.062468954214525585,0.5231875220642511,0.09639221201866117,0.002694881872364296,35.768622367886415,30964.0,0.9660573569306291,0.5230291172367567,31159.0,,,
panel_topic_stable,29280,0.2432377049180328,0.15314207650273223,0.28007699711260825,0.22789770383610614,0.14047131147540984,0.06943306010928962,0.09669324900316238,0.06812869517393098,0.042390065055840385,0.08615636837419649,0.5328893442622951,0.019399182786334793,0.06308434845597855,0.5236680327868852,0.09719924617800807,0.0027471220828489415,35.3822084518378,29092.0,0.9663481369448645,0.52470005951557,29280.0,,,
panel_topic=career,3125,0.26016,0.14464,0.28438303341902316,0.21079691516709512,0.16448,0.05856,0.09511568123393316,0.05334190231362468,0.022818321989426668,0.12834713889211302,0.544,-0.0013001868864407334,0.0991313025555518,0.53152,0.1461378447003164,0.010625299931209779,13.753761836977848,3112.0,0.9550128534704371,0.5204049172600779,3125.0,,,
panel_topic=coding,896,0.25669642857142855,0.15066964285714285,0.2738496071829405,0.20987654320987653,0.15959821428571427,0.06138392857142857,0.08641975308641975,0.05723905723905724,0.08956173652534491,0.15822556347950967,0.5446428571428571,0.04768653077147257,0.09608327058620214,0.5256696428571429,0.100475795373811,0.02386000354426927,4.211055341521248,891.0,0.936026936026936,0.49236561515009203,896.0,,,
panel_topic=general_questions,3883,0.24182333247489055,0.17228946690703065,0.2710111197310577,0.2469614688388932,0.13932526397115633,0.08035024465619367,0.09568140677527799,0.08611326609775019,-0.03611922388419525,0.08657876082735805,0.5240793201133145,-0.05657918428010594,0.04419414901173346,0.5119752768477981,0.14187328099011903,0.009017381757829715,15.733312041151155,3867.0,0.9648306180501681,0.5179813069864563,3883.0,,,
panel_topic=politics,23255,0.24321651257794022,0.1528273489572135,0.28206460552524465,0.22932363384428855,0.13829284024940872,0.07078047731670609,0.09721139689962761,0.06789642331341474,0.058482641145419526,0.08063655913721002,0.532143625026876,0.03448781160988426,0.05949796200352808,0.5238443345517093,0.08761800603636863,0.0029516195247822233,29.684722336573266,23094.0,0.9689096735082705,0.5278274178265494,23255.0,,,
audit_below_thresholds,143423,,,,,,,,,,,,,,,,,,,,,,1759858.0,56036739.0,"{""career"": 5582966, ""coding"": 2052164, ""general_questions"": 13486146, ""politics"": 34915463}"
audit_panel,31159,,,,,,,,,,,,,,,,,,,,,,2990557.0,122569261.0,"{""career"": 12211035, ""coding"": 5002647, ""general_questions"": 15675724, ""politics"": 89679855}"
audit_post_only,483561,,,,,,,,,,,,,,,,,,,,,,1943668.0,72373037.0,"{""career"": 9383534, ""coding"": 4639317, ""general_questions"": 23688326, ""politics"": 34661860}"
audit_pre_only,92263,,,,,,,,,,,,,,,,,,,,,,233053.0,7456804.0,"{""career"": 790249, ""coding"": 474104, ""general_questions"": 1061991, ""politics"": 5130460}"
placebo_offset_weeks=8,0,,,,,,,,,,,,,,,,,,,,,,,,
