summary_label,n_users,share_weekly_gt_p1,share_weekly_lt_n1,share_pooled_t_gt_p1,share_pooled_t_lt_n1,share_weekly_gt_p2,share_weekly_lt_n2,share_pooled_t_gt_p2,share_pooled_t_lt_n2,mean_delta_weekly_composite,median_delta_weekly_composite,sign_test_pos_share_weekly,mean_delta_pooled_composite,median_delta_pooled_composite,sign_test_pos_share_pooled,ivw_delta_pooled_composite,ivw_se_pooled_composite,ivw_z_pooled_composite,ivw_n_users,agree_sign_share_weekly_vs_pooled,corr_std_delta_weekly_vs_t_pooled,n_users_in_summary,n_comments,n_words,topic_word_distribution_json
panel,2731,0.1688026363969242,0.06847308678139875,0.27792017575979494,0.21201025265470524,0.05748809959721714,0.011717319663127059,0.11131453679970707,0.05931893079458074,0.045475349553975246,0.06999587499063309,0.538630538264372,0.022070293768371184,0.04888218040013781,0.5283778835591358,0.08470659591168817,0.007493625324268827,11.303820546959786,2731.0,0.9648480410106188,0.7335921588732109,2731.0,,,
panel_topic_stable,2654,0.16955538809344387,0.06895252449133384,0.27957799547852297,0.2121326299924642,0.058025621703089676,0.011303692539562924,0.11152976639035418,0.05915599095704597,0.046184266759311414,0.07273688169204473,0.539939713639789,0.023361969669280593,0.05018207148235043,0.5293896006028636,0.08539664190021504,0.007566018499114102,11.286866653870069,2654.0,0.9660889223813113,0.7336959962550021,2654.0,,,
panel_topic=career,320,0.16875,0.0625,0.2375,0.203125,0.065625,0.025,0.10625,0.059375,0.027059241044131422,0.11015376013385159,0.559375,-0.006520440951203216,0.11309518006753572,0.5625,0.12325414409036951,0.029705937766632853,4.149141665166165,320.0,0.959375,0.7505450256061718,320.0,,,
panel_topic=coding,106,0.12264150943396226,0.04716981132075472,0.18867924528301888,0.16981132075471697,0.018867924528301886,0.018867924528301886,0.0660377358490566,0.05660377358490566,-0.04999967406307867,0.06818104111981771,0.5377358490566038,-0.0580970557073112,0.019075582699774496,0.5,0.07574075056712216,0.050804231860310335,1.4908354637734997,106.0,0.9056603773584906,0.8081682834672643,106.0,,,
panel_topic=general_questions,188,0.17553191489361702,0.06914893617021277,0.2978723404255319,0.2074468085106383,0.047872340425531915,0.005319148936170213,0.14361702127659576,0.06382978723404255,0.06610096795892174,0.116204063683917,0.5319148936170213,0.0740265027278011,0.128615422906307,0.5372340425531915,0.08385509903551802,0.03467758821081635,2.4181352672433722,188.0,0.973404255319149,0.7034029238343653,188.0,,,
panel_topic=politics,2117,0.17052432687765706,0.07038261691072271,0.2867264997638167,0.2158715162966462,0.05904581955597544,0.009919697685403874,0.11147850732168163,0.05904581955597544,0.05120793857921274,0.06407758928754803,0.536136041568257,0.025792073111929655,0.03664561493205343,0.5238545111006141,0.08215085751162458,0.008043668562975486,10.213108219023338,2117.0,0.9678790741615494,0.7349959514488074,2117.0,,,
audit_below_thresholds,171851,,,,,,,,,,,,,,,,,,,,,,3815967.0,135057096.0,"{""career"": 13008528, ""coding"": 4526662, ""general_questions"": 25518282, ""politics"": 92003624}"
audit_panel,2731,,,,,,,,,,,,,,,,,,,,,,934448.0,43548904.0,"{""career"": 4785473, ""coding"": 2528149, ""general_questions"": 3643588, ""politics"": 32591694}"
audit_post_only,483561,,,,,,,,,,,,,,,,,,,,,,1943668.0,72373037.0,"{""career"": 9383534, ""coding"": 4639317, ""general_questions"": 23688326, ""politics"": 34661860}"
audit_pre_only,92263,,,,,,,,,,,,,,,,,,,,,,233053.0,7456804.0,"{""career"": 790249, ""coding"": 474104, ""general_questions"": 1061991, ""politics"": 5130460}"
placebo_offset_weeks=8,0,,,,,,,,,,,,,,,,,,,,,,,,
